"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lbio","~","lrich",1.52555390134654,0.178162008045725,8.56273409847853,0,1.17636278216358,1.87474502052949,1.52555390134654,0.67779787906325,0.67779787906325
"2","lbio","~","Year",0.123015169908996,0.125224272313619,0.982358832167213,0.325923100170444,-0.122419893815934,0.368450233633926,0.123015169908996,0.06966278206385,0.139457438803818
"3","lbio","~","Treatment",-0.394687910123493,0.11282626003555,-3.49819191027987,0.000468423940034546,-0.615823316303522,-0.173552503943464,-0.394687910123493,-0.223509489817472,-0.447442092819713
"4","lbio","~","Structure",0.144581575352097,0.0994935228966688,1.45317575599625,0.146174961675867,-0.0504221462203847,0.339585296924579,0.144581575352097,0.112254404708534,0.112254404708534
"5","lbio","~","lcc",0.0899934332409903,0.0660223845739609,1.36307456662938,0.172859011411123,-0.0394080626974258,0.219394929179406,0.0899934332409903,0.0996553157850867,0.0996553157850867
"6","lrich","~","Treatment",-0.121519835760598,0.0647969431767093,-1.87539457577804,0.0607384608103838,-0.248519510695237,0.00547983917404027,-0.121519835760598,-0.154887606625695,-0.310068422226875
"7","lrich","~","Year",-0.204833608581405,0.0700982085730483,-2.92209476891198,0.00347685731059877,-0.342223572765357,-0.067443644397454,-0.204833608581405,-0.2610782609366,-0.522650754375584
"8","lrich","~","Structure",0.296427546345847,0.0493424729652263,6.00755350374822,1.88343673990232e-09,0.199718076425862,0.393137016265832,0.296427546345847,0.518007859545948,0.518007859545948
"9","lrich","~","lcc",0.0200119698196852,0.0385787372741467,0.518730555577206,0.603948650701649,-0.0556009658066752,0.0956249054460455,0.0200119698196852,0.049877748362325,0.049877748362325
"10","Structure","~","Year",0.106810858131036,0.14642907859009,0.729437480311129,0.465734098062232,-0.180184862194926,0.393806578456997,0.106810858131036,0.0779053188399469,0.155958115836601
"11","Structure","~","lcc",0.266224002417022,0.0748824118714009,3.55522739938212,0.000377652319920596,0.119457172073581,0.412990832760462,0.266224002417022,0.37970508998145,0.37970508998145
"12","lcc","~","Year",-0.816899736773169,0.181961037534506,-4.48942118511639,7.14169648108332e-06,-1.17353681693034,-0.460262656615996,-0.816899736773169,-0.417754609505734,-0.836300046655629
"13","lcc","~","Treatment",0.380704853599303,0.181961037534506,2.09223281400068,0.0364176944715888,0.0240677734421305,0.737341933756475,0.380704853599303,0.194688773043975,0.389746100402439
"14","lbio","~~","lbio",0.268131209305292,0.0395337900061503,6.7823299831253,1.18252074798875e-11,0.190646404720868,0.345616013889716,0.268131209305292,0.344598509919866,0.344598509919866
"15","lrich","~~","lrich",0.0918183198871598,0.0135378726950189,6.78232998312527,1.18252074798875e-11,0.0652845769776345,0.118352062796685,0.0918183198871598,0.597791964061748,0.597791964061748
"16","Structure","~~","Structure",0.409920549896976,0.0604394877449013,6.78232998312527,1.18252074798875e-11,0.29146133067292,0.528379769121033,0.409920549896976,0.873946488338709,0.873946488338709
"17","lcc","~~","lcc",0.758515857592702,0.111837061817977,6.78232998312527,1.18252074798875e-11,0.539319244292687,0.977712470892717,0.758515857592702,0.79497119810172,0.79497119810172
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
